lng,lat
115.955055,28.653055
115.95511,28.65319
115.955154,28.653324
115.9552,28.653456
115.95524,28.653591
115.95528,28.653728
115.95531,28.653866
115.95534,28.654005
115.95536,28.65414
115.95539,28.654278
115.95541,28.654415
115.95543,28.654554
115.955444,28.654696
115.95545,28.654835
115.95546,28.654976
115.95547,28.655115
115.955475,28.65525
115.95548,28.655392
115.95549,28.65553
115.95549,28.655668
115.95549,28.655806
115.9555,28.655935
115.9555,28.65607
115.955505,28.656204
115.955505,28.65634
115.95551,28.656475
115.95551,28.656612
115.95551,28.65675
115.95552,28.656887
115.95552,28.657022
115.95553,28.657158
115.95553,28.657291
115.95553,28.65742
115.95553,28.65755
115.955536,28.657682
115.955536,28.657816
115.955536,28.657951
115.955536,28.658087
115.955536,28.658222
115.95554,28.658356
115.95554,28.65849
115.95554,28.65862
115.95555,28.658752
115.95556,28.65889
115.95555,28.659025
115.95555,28.65916
115.95555,28.6593
115.95555,28.65944
115.95555,28.65958
115.95556,28.65972
115.95556,28.659859
115.95556,28.659996
115.95557,28.660135
115.95556,28.66027
115.95556,28.660402
115.95556,28.66053
115.95555,28.660662
115.95555,28.660791
115.95555,28.660915
115.95554,28.661022
115.95554,28.661116
115.955536,28.661196
115.955536,28.661272
115.95553,28.66134
115.95553,28.6614
115.95553,28.661451
115.95553,28.661484
115.955505,28.661493
115.955505,28.661507
115.9555,28.661524
115.9555,28.661537
115.95548,28.661552
115.95548,28.661558
115.95548,28.66156
115.955475,28.66156
115.95547,28.66156
115.95547,28.661566
115.95546,28.661575
115.95545,28.661594
115.95545,28.661621
115.95545,28.661646
115.955444,28.66167
115.955444,28.661695
115.95544,28.661722
115.95544,28.661757
115.95544,28.661785
115.955444,28.66182
115.95544,28.661856
115.95544,28.661888
115.95544,28.66192
115.95544,28.661945
115.95544,28.66197
115.95544,28.661999
115.955444,28.662022
115.955444,28.66204
115.95545,28.662056
115.95546,28.662071
115.95547,28.662083
115.955475,28.662086
115.955475,28.662088
115.95548,28.66209
115.95548,28.662088
115.95548,28.662086
115.955475,28.662085
115.95542,28.662096
115.95542,28.662119
115.95543,28.66215
115.95544,28.662184
115.955444,28.662218
115.95545,28.662254
115.95546,28.662298
115.95546,28.66234
115.95546,28.662382
115.95545,28.662432
115.955444,28.662483
115.955444,28.662537
115.95546,28.662596
115.95546,28.662657
115.95547,28.66272
115.955475,28.662783
115.95548,28.662846
115.95549,28.662903
115.95549,28.662958
115.9555,28.663015
115.9555,28.66308
115.9555,28.663153
115.9555,28.663227
115.9555,28.663301
115.9555,28.663378
115.955505,28.663458
115.95551,28.66354
115.95551,28.663622
115.95551,28.663706
115.95551,28.663788
115.95551,28.663877
115.95551,28.66397
115.95551,28.664064
115.95552,28.66416
115.95552,28.664255
115.95552,28.664349
115.95552,28.66444
115.95552,28.66454
115.95552,28.664635
115.95552,28.66473
115.95552,28.664827
